"nhs_region","trust_type","trust_name","provider_code","wk_start","wk","hcai_group","n","ecds_last_update","sus_last_update","drop"
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-09,10,"CO",17,2020-03-16,2020-03-20,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-09,10,"Unlinked",3,2020-03-10,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-16,11,"CO",10,2020-03-22,2020-04-24,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-16,11,"HO.HA",10,2020-02-21,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-16,11,"HO.iHA",0,2020-03-20,2020-04-25,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-16,11,"Unlinked",5,2020-04-29,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-23,12,"CO",99,2020-03-29,2020-04-24,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-23,12,"HO.HA",3,2020-02-29,2020-04-03,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-23,12,"HO.iHA",14,2020-03-24,2020-04-03,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-23,12,"HO.pHA",1,2020-03-17,2020-03-29,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-23,12,"Unlinked",18,2020-03-22,2020-04-09,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-30,13,"CO",51,2020-04-12,2020-04-21,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-30,13,"HO.HA",11,2020-02-28,2020-04-01,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-30,13,"HO.iHA",7,2020-03-31,2020-04-14,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-30,13,"HO.pHA",1,2020-03-25,2020-04-07,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-03-30,13,"Unlinked",12,2020-04-04,2020-04-09,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-06,14,"CO",39,2020-04-12,2020-04-24,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-06,14,"HO.HA",5,2020-03-16,2020-04-16,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-06,14,"HO.iHA",11,2020-04-06,2020-04-08,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-06,14,"HO.pHA",9,2020-03-30,2020-04-19,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-06,14,"Unlinked",6,2020-04-05,2020-04-07,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-13,15,"CO",6,2020-04-26,2020-04-26,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-13,15,"HO.HA",9,2020-03-16,2020-04-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-13,15,"HO.iHA",5,2020-04-14,2020-04-23,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-13,15,"HO.pHA",14,2020-04-05,2020-04-23,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-13,15,"Unlinked",3,2020-04-12,2020-04-20,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-20,16,"CO",7,2020-04-26,2020-04-26,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-20,16,"HO.HA",14,2020-04-04,2020-04-21,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-20,16,"HO.iHA",9,2020-04-17,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-20,16,"HO.pHA",13,2020-04-13,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-20,16,"Unlinked",15,2020-04-16,2020-04-22,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-27,17,"HO.HA",15,2020-04-09,2020-04-06,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-27,17,"HO.iHA",8,2020-04-25,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-04-27,17,"Unlinked",3,NA,2020-02-21,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-05-04,18,"HO.HA",11,2020-04-18,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-05-04,18,"Unlinked",13,2020-04-29,2020-01-26,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-05-11,19,"Unlinked",4,2020-04-27,2020-05-07,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-05-18,20,"HO.HA",8,2020-04-19,2020-01-02,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-05-18,20,"Unlinked",7,2020-05-04,2020-05-13,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-05-25,21,"Unlinked",8,2020-05-19,2020-05-31,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-06-01,22,"Unlinked",1,2020-05-26,2020-06-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-06-08,23,"Unlinked",18,2020-06-06,2020-06-10,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-06-15,24,"HO.HA",10,2020-03-08,2020-04-01,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-06-15,24,"Unlinked",17,2020-06-14,2020-05-18,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-06-22,25,"Unlinked",5,2020-06-13,2020-06-22,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-06-29,26,"HO.HA",14,NA,2020-01-14,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-06-29,26,"Unlinked",10,2020-06-24,2020-06-28,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-07-06,27,"Unlinked",10,2020-06-13,2020-06-18,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-07-13,28,"Unlinked",5,2020-04-01,2020-06-02,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 1","GUV",2020-07-20,29,"Unlinked",8,2020-01-30,2020-01-21,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-09,10,"Unlinked",8,2020-01-24,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-16,11,"CO",11,2020-03-22,2020-04-03,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-16,11,"HO.HA",10,2020-02-24,2020-03-24,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-16,11,"HO.iHA",2,2020-03-19,2020-04-01,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-16,11,"Unlinked",4,2020-03-16,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-23,12,"CO",28,2020-03-29,2020-04-28,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-23,12,"HO.HA",3,2020-03-13,2020-04-14,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-23,12,"HO.iHA",16,2020-03-24,2020-04-28,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-23,12,"HO.pHA",3,2020-03-15,2020-04-03,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-23,12,"Unlinked",17,2020-03-22,2020-04-06,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-30,13,"CO",60,2020-04-12,2020-04-30,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-30,13,"HO.HA",10,2020-03-18,2020-04-05,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-30,13,"HO.iHA",7,2020-03-30,2020-04-28,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-30,13,"HO.pHA",11,2020-03-26,2020-04-21,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-03-30,13,"Unlinked",29,2020-04-01,2020-04-02,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-06,14,"CO",21,2020-04-24,2020-05-05,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-06,14,"HO.HA",7,2020-03-26,2020-05-06,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-06,14,"HO.iHA",4,2020-04-08,2020-04-28,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-06,14,"HO.pHA",4,2020-04-04,2020-06-18,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-06,14,"Unlinked",58,2020-06-23,2020-04-06,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-13,15,"CO",17,2020-04-26,2020-05-07,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-13,15,"HO.HA",13,2020-03-27,2020-04-28,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-13,15,"HO.iHA",7,2020-04-15,2020-04-30,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-13,15,"HO.pHA",5,2020-04-05,2020-04-29,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-13,15,"Unlinked",81,2020-07-21,2020-06-25,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-20,16,"CO",22,2020-05-04,2020-06-09,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-20,16,"HO.HA",4,2020-01-30,2020-05-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-20,16,"HO.iHA",3,2020-04-17,2020-05-11,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-20,16,"HO.pHA",11,2020-04-14,2020-05-13,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-20,16,"Unlinked",25,2020-07-16,2020-04-20,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-27,17,"CO",8,2020-05-15,2020-05-26,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-27,17,"HO.iHA",6,2020-04-27,2020-05-29,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-27,17,"HO.pHA",10,2020-04-21,2020-05-13,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-04-27,17,"Unlinked",81,2020-06-25,2020-07-14,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-04,18,"CO",9,2020-05-11,2020-05-25,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-04,18,"HO.iHA",7,2020-05-04,2020-05-19,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-04,18,"HO.pHA",9,2020-05-02,2020-06-03,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-04,18,"Unlinked",48,2020-06-06,2020-05-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-11,19,"CO",30,2020-05-22,2020-06-11,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-11,19,"HO.HA",11,2020-04-28,2020-06-12,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-11,19,"HO.iHA",2,2020-05-08,2020-05-15,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-11,19,"HO.pHA",11,2020-05-07,2020-05-30,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-11,19,"Unlinked",24,2020-05-15,2020-06-25,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-18,20,"CO",13,2020-05-29,2020-06-05,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-18,20,"HO.HA",1,2020-05-06,2020-06-29,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-18,20,"HO.iHA",1,2020-05-20,2020-06-15,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-18,20,"HO.pHA",12,2020-05-13,2020-05-22,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-18,20,"Unlinked",29,2020-06-11,2020-06-19,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-25,21,"CO",7,2020-05-30,2020-06-17,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-25,21,"HO.HA",18,2020-05-05,2020-05-30,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-25,21,"HO.iHA",4,2020-05-25,2020-06-12,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-25,21,"HO.pHA",13,2020-05-21,2020-06-05,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-05-25,21,"Unlinked",53,2020-05-24,2020-06-24,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-01,22,"CO",13,2020-06-07,2020-06-21,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-01,22,"HO.iHA",0,2020-06-04,2020-06-26,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-01,22,"Unlinked",45,2020-06-30,2020-06-25,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-08,23,"CO",27,2020-06-14,2020-07-14,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-08,23,"HO.HA",6,2020-05-18,2020-06-15,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-08,23,"HO.iHA",5,2020-06-08,2020-07-02,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-08,23,"HO.pHA",14,2020-06-06,2020-07-03,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-08,23,"Unlinked",44,2020-07-14,2020-06-30,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-15,24,"CO",17,2020-06-26,2020-07-03,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-15,24,"HO.HA",2,2020-06-01,2020-07-09,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-15,24,"HO.iHA",6,2020-06-15,2020-07-02,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-15,24,"HO.pHA",11,2020-06-08,2020-06-23,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-15,24,"Unlinked",32,2020-06-18,2020-06-20,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-22,25,"Unlinked",11,2020-04-14,2020-05-15,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-29,26,"HO.HA",7,2020-06-03,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-29,26,"HO.pHA",7,2020-06-17,2020-07-06,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-06-29,26,"Unlinked",14,2020-06-24,2020-06-25,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-07-06,27,"Unlinked",2,2020-06-24,2020-05-30,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-07-13,28,"HO.HA",2,2020-06-30,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-07-13,28,"Unlinked",15,NA,2020-01-07,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-07-20,29,"HO.HA",13,2020-06-16,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 51","ERG",2020-07-20,29,"Unlinked",2,2020-01-20,2020-02-16,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-09,10,"CO",9,2020-03-14,2020-03-26,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-09,10,"HO.iHA",4,2020-03-13,2020-03-31,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-09,10,"Unlinked",30,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-16,11,"CO",13,2020-03-24,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-16,11,"HO.iHA",5,2020-03-17,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-16,11,"Unlinked",10,NA,NA,TRUE
