"linkset","nhs_region","trust_type","trust_name","provider_code","wk_start","wk","hcai_group","n","ecds_last_update","sus_last_update"
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-12,11,"Unlinked",4,2020-02-06,2020-02-11
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-12,11,"CO",2,2020-03-18,2020-04-09
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-12,11,"HO.iHA",12,2020-03-11,2020-03-24
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-12,11,"HO.pHA",3,2020-03-06,2020-03-31
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-12,11,"HO.HA",1,2020-02-28,2020-04-07
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-19,12,"CO.HA",4,2020-03-16,2020-03-22
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-19,12,"CO",20,2020-03-25,2020-04-11
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-19,12,"HO.pHA",8,2020-03-11,2020-03-31
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-19,12,"HO.HA",9,2020-02-23,2020-04-12
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-26,13,"Unlinked",8,2020-02-22,2020-03-02
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-26,13,"CO.HA",7,2020-03-24,2020-03-26
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-26,13,"CO",28,2020-04-01,2020-05-03
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-26,13,"HO.iHA",5,2020-03-26,2020-04-15
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-26,13,"HO.pHA",6,2020-03-18,2020-04-08
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-03-26,13,"HO.HA",10,2020-03-16,2020-04-15
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-02,14,"Unlinked",14,2020-03-13,2020-03-19
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-02,14,"CO.CA",3,2020-04-13,2020-04-18
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-02,14,"CO.HA",12,2020-03-25,2020-03-31
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-02,14,"CO",15,2020-04-08,2020-05-02
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-02,14,"HO.iHA",5,2020-04-02,2020-05-05
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-02,14,"HO.pHA",2,2020-03-29,2020-04-12
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-02,14,"HO.HA",10,2020-03-24,2020-05-06
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-09,15,"Unlinked",17,2020-03-28,2020-03-29
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-09,15,"CO.CA",4,2020-04-26,2020-05-02
