"trust_code","trust_name","nhs_region","trust_type"
"AA4","INTRAHEALTH LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AA5","COMPASS WELLBEING COMMUNITY INTEREST COMPANY","LONDON","INDEPENDENT SECTOR"
"AA6","ASSISTED CONCEPTION UNIT LTD","LONDON","INDEPENDENT SECTOR"
"AA7","LEYLAND PHYSIOTHERAPY","NORTH WEST","INDEPENDENT SECTOR"
"AA8","SMART CJS","SOUTH EAST","INDEPENDENT SECTOR"
"AA9","COTTER LAUBIS PARTNERS","LONDON","INDEPENDENT SECTOR"
"AAA","BOOTS UK LIMITED","MIDLANDS","INDEPENDENT SECTOR"
"AAC","RILA PUBLICATIONS LTD","LONDON","INDEPENDENT SECTOR"
"AAD","HEALOGICS LTD","SOUTH EAST","INDEPENDENT SECTOR"
"AAE","SSAFA CARE CIC","LONDON","INDEPENDENT SECTOR"
"AAF","360 CARE LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AAG","SOLICITUDE LTD","MIDLANDS","INDEPENDENT SECTOR"
"AAH","TETBURY HOSPITAL TRUST LTD","SOUTH WEST","INDEPENDENT SECTOR"
"AAH","TETBURY HOSPITAL TRUST LTD","SOUTH WEST","INDEPENDENT SECTOR"
"AAJ","ISIS CHIROPRACTIC CENTRES","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AAK","LONDON CANCER - UCLPARTNERS","LONDON","INDEPENDENT SECTOR"
"AAL","CANCER CARE","NORTH WEST","INDEPENDENT SECTOR"
"AAM","PERSONALISED 4 AUTISM","MIDLANDS","INDEPENDENT SECTOR"
"AAN","ALEXIN HEALTHCARE LTD","MIDLANDS","INDEPENDENT SECTOR"
"AAP","ACCIPITER LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"AAP","ACCIPITER LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"AAQ","GP PRIMARY CHOICE LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AAR","LIFELINE PROJECT LTD","NORTH WEST","INDEPENDENT SECTOR"
"AAT","HIDDEN HEARING LIMITED","SOUTH EAST","INDEPENDENT SECTOR"
"AAV","COMMUNITY HEALTH AND EYECARE LIMITED","NORTH WEST","INDEPENDENT SECTOR"
"AAW","ALLIED HEALTHCARE GROUP","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AAX","SYDENHAM HOUSE MEDICAL PRACTICE","SOUTH EAST","INDEPENDENT SECTOR"
"AAX","SYDENHAM HOUSE MEDICAL PRACTICE","SOUTH EAST","INDEPENDENT SECTOR"
"AAY","HOLBEACH AND EAST ELLOE HOSPITAL TRUST","MIDLANDS","INDEPENDENT SECTOR"
"AC0","EAST LANCASHIRE MEDICAL SERVICES LTD","NORTH WEST","INDEPENDENT SECTOR"
"AC2","THE HERNE BAY OPTHALMOLOGY CLINIC","SOUTH EAST","INDEPENDENT SECTOR"
"AC6","NEW HAYESBANK SURGERY CLINICS","SOUTH EAST","INDEPENDENT SECTOR"
"AC7","COBALT HEALTH","SOUTH WEST","INDEPENDENT SECTOR"
"AC8","NORTH EAST COMMUNITY HEALTH NETWORK","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AC9","CUPRIS LTD","LONDON","INDEPENDENT SECTOR"
"ACA","CUMBRIA MEDICAL SERVICES","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ACA","CUMBRIA MEDICAL SERVICES","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ACC","ARDENS LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ACC","ARDENS LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ACD","CHARING PRACTICE LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ACD","CHARING PRACTICE LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ACE","CHARING MEDICAL PARTNERSHIP","SOUTH EAST","INDEPENDENT SECTOR"
"ACE","CHARING MEDICAL PARTNERSHIP","SOUTH EAST","INDEPENDENT SECTOR"
"ACF","CARERS CENTRE NEWCASTLE","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ACG","NEW MEDICAL SYSTEMS LIMITED","LONDON","INDEPENDENT SECTOR"
"ACH","WHITSTABLE MEDICAL PRACTICE","SOUTH EAST","INDEPENDENT SECTOR"
"ACJ","DEPENDABILITY LTD","LONDON","INDEPENDENT SECTOR"
"ACK","BRISTOL LASER VISION","SOUTH WEST","INDEPENDENT SECTOR"
"ACL","COASTAL CLINICS","SOUTH EAST","INDEPENDENT SECTOR"
"ACM","EYE CARE MEDICAL LTD","NORTH WEST","INDEPENDENT SECTOR"
"ACN","WESSEX FERTILITY LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ACP","FORTIUS CLINIC","LONDON","INDEPENDENT SECTOR"
"ACQ","THOMPSON OPTICIANS LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ACR","VISION CHECKS LTD","SOUTH WEST","INDEPENDENT SECTOR"
"ACT","ATLAS PHYSIOTHERAPY LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ACV","KINGSNORTH MEDICAL SERVICES LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ACW","ADVANCE PHYSIOTHERAPY","MIDLANDS","INDEPENDENT SECTOR"
"ACX","YORKSHIRE HEALTHCARE PARTNERS LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ACY","NORTHAMPTONSHIRE FORENSIC MEDICAL SERVICES","MIDLANDS","INDEPENDENT SECTOR"
"AD0","BLACKBERRY CLINIC","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AD6","NL GROUP LIMITED","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"AD7","WESTMINSTER MIND","LONDON","INDEPENDENT SECTOR"
"AD8","ENHANCED OPTOMETRY SERVICES LTD.","EAST OF ENGLAND","INDEPENDENT SECTOR"
"AD9","GREENBROOK HEALTHCARE","MIDLANDS","INDEPENDENT SECTOR"
"ADA","BAYWATER HEALTHCARE LTD","NORTH WEST","INDEPENDENT SECTOR"
"ADA","BAYWATER HEALTHCARE LTD","NORTH WEST","INDEPENDENT SECTOR"
"ADC","HEALTHSPACE SOUTH","SOUTH EAST","INDEPENDENT SECTOR"
"ADD","VOYAGE CARE","MIDLANDS","INDEPENDENT SECTOR"
"ADE","THAMES VALLEY AMBULANCE AND PARAMEDIC SERVICE","EAST OF ENGLAND","INDEPENDENT SECTOR"
"ADF","NORTHWEST DIAGNOSTIC & TREATMENT SERVICES","NORTH WEST","INDEPENDENT SECTOR"
"ADG","BRAINTREE CLINICAL SERVICES LIMITED","EAST OF ENGLAND","INDEPENDENT SECTOR"
"ADH","WSDM LTD","SOUTH EAST","INDEPENDENT SECTOR"
"ADJ","HEADWAY DORSET","SOUTH WEST","INDEPENDENT SECTOR"
"ADK","KEMP TOWN HEALTHCARE LTD","EAST OF ENGLAND","INDEPENDENT SECTOR"
"ADL","BATH FERTILITY CENTRE LTD","SOUTH WEST","INDEPENDENT SECTOR"
"ADM","REFLEXIVE SOLUTIONS LTD","NORTH EAST AND YORKSHIRE","INDEPENDENT SECTOR"
"ADN","PRIMARY INTEGRATED COMMUNITY SERVICES LTD","MIDLANDS","INDEPENDENT SECTOR"
"ADP","KENT INSTITUTE OF MEDICINE AND SURGERY","LONDON","INDEPENDENT SECTOR"
